Date,Australian Dollar,U.S. Dollar,New Zealand Dollar,Euro
2011-01-03,1.0099,1.0,0.7665,1.3348
2011-01-04,1.0099,1.0,0.7665,1.3421
2011-01-05,1.0014,1.0,0.7665,1.3213
2011-01-06,0.9967,1.0,0.758,1.3091
2011-01-07,0.9933,1.0,0.7569,1.2961
2011-01-08,0.9933,1.0,0.7569,1.2961
2011-01-09,0.9933,1.0,0.7569,1.2961
2011-01-10,0.9958,1.0,0.7586,1.2903
2011-01-11,0.9846,1.0,0.7639,1.2948
2011-01-12,0.9848,1.0,0.7601,1.2973
2011-01-13,0.9947,1.0,0.7634,1.3199
2011-01-14,0.9964,1.0,0.7725,1.3349
2011-01-15,0.9964,1.0,0.7725,1.3349
2011-01-16,0.9964,1.0,0.7725,1.3349
2011-01-17,0.9964,1.0,0.7725,1.3349
2011-01-18,0.9939,1.0,0.7724,1.3371
2011-01-19,1.0033,1.0,0.7708,1.3506
2011-01-20,0.9966,1.0,0.7677,1.3472
2011-01-21,0.9861,1.0,0.7569,1.3521
2011-01-22,0.9861,1.0,0.7569,1.3521
2011-01-23,0.9861,1.0,0.7569,1.3521
2011-01-24,0.9881,1.0,0.7569,1.3571
2011-01-25,0.9959,1.0,0.7632,1.3596
2011-01-26,0.9959,1.0,0.7688,1.3681
2011-01-27,0.9964,1.0,0.7724,1.3716
2011-01-28,0.9894,1.0,0.7722,1.371
2011-01-29,0.9894,1.0,0.7722,1.371
2011-01-30,0.9894,1.0,0.7722,1.371
2011-01-31,0.9924,1.0,0.7703,1.3692
2011-02-01,1.0037,1.0,0.7724,1.3755
2011-02-02,1.0125,1.0,0.7808,1.3803
2011-02-03,1.0105,1.0,0.7726,1.3745
2011-02-04,1.0186,1.0,0.7727,1.3631
2011-02-05,1.0186,1.0,0.7727,1.3631
2011-02-06,1.0186,1.0,0.7727,1.3631
2011-02-07,1.0135,1.0,0.7727,1.3553
2011-02-08,1.0146,1.0,0.7702,1.3635
2011-02-09,1.0133,1.0,0.7753,1.3647
2011-02-10,1.0074,1.0,0.7721,1.3604
2011-02-11,0.9991,1.0,0.7634,1.3524
2011-02-12,0.9991,1.0,0.7634,1.3524
2011-02-13,0.9991,1.0,0.7634,1.3524
2011-02-14,1.004,1.0,0.7565,1.344
2011-02-15,1.0043,1.0,0.7569,1.351
2011-02-16,0.9998,1.0,0.752,1.351
2011-02-17,1.0035,1.0,0.7546,1.356
2011-02-18,1.0126,1.0,0.7588,1.3627
2011-02-19,1.0126,1.0,0.7588,1.3627
2011-02-20,1.0126,1.0,0.7588,1.3627
2011-02-21,1.0126,1.0,0.7588,1.3627
2011-02-22,1.0037,1.0,0.7632,1.3667
2011-02-23,1.0019,1.0,0.7465,1.3731
2011-02-24,1.0075,1.0,0.7457,1.3773
2011-02-25,1.0134,1.0,0.7476,1.3762
2011-02-26,1.0134,1.0,0.7476,1.3762
2011-02-27,1.0134,1.0,0.7476,1.3762
2011-02-28,1.0163,1.0,0.7519,1.3834
2011-03-01,1.0156,1.0,0.7533,1.3825
2011-03-02,1.0092,1.0,0.7466,1.3809
2011-03-03,1.0153,1.0,0.7434,1.385
2011-03-04,1.0139,1.0,0.7403,1.3957
2011-03-05,1.0139,1.0,0.7403,1.3957
2011-03-06,1.0139,1.0,0.7403,1.3957
2011-03-07,1.0127,1.0,0.737,1.4028
2011-03-08,1.0123,1.0,0.7374,1.3898
2011-03-09,1.0068,1.0,0.7397,1.3928
2011-03-10,1.005,1.0,0.7363,1.3817
2011-03-11,1.0032,1.0,0.7351,1.3773
2011-03-12,1.0032,1.0,0.7351,1.3773
2011-03-13,1.0032,1.0,0.7351,1.3773
2011-03-14,1.0076,1.0,0.7409,1.3948
2011-03-15,0.9964,1.0,0.7395,1.3884
2011-03-16,0.991,1.0,0.7309,1.3951
2011-03-17,0.9794,1.0,0.7174,1.4004
2011-03-18,0.9936,1.0,0.7195,1.413
2011-03-19,0.9936,1.0,0.7195,1.413
2011-03-20,0.9936,1.0,0.7195,1.413
2011-03-21,1.0018,1.0,0.7298,1.4194
2011-03-22,1.0018,1.0,0.7353,1.4211
2011-03-23,1.0101,1.0,0.7406,1.4136
2011-03-24,1.0129,1.0,0.7427,1.4128
2011-03-25,1.0207,1.0,0.7498,1.4115
2011-03-26,1.0207,1.0,0.7498,1.4115
2011-03-27,1.0207,1.0,0.7498,1.4115
2011-03-28,1.026,1.0,0.7518,1.4032
2011-03-29,1.0256,1.0,0.7509,1.4066
2011-03-30,1.0325,1.0,0.7569,1.409
2011-03-31,1.0334,1.0,0.7627,1.4207
2011-04-01,1.0345,1.0,0.7609,1.4141
2011-04-02,1.0345,1.0,0.7609,1.4141
2011-04-03,1.0345,1.0,0.7609,1.4141
2011-04-04,1.0385,1.0,0.7685,1.424
2011-04-05,1.0328,1.0,0.7678,1.4166
2011-04-06,1.0356,1.0,0.7675,1.43
2011-04-07,1.0465,1.0,0.7775,1.4283
2011-04-08,1.0522,1.0,0.7777,1.4401
2011-04-09,1.0522,1.0,0.7777,1.4401
2011-04-10,1.0522,1.0,0.7777,1.4401
2011-04-11,1.0564,1.0,0.782,1.4434
2011-04-12,1.0438,1.0,0.7822,1.447
2011-04-13,1.0478,1.0,0.7848,1.4493
2011-04-14,1.0534,1.0,0.7876,1.4401
2011-04-15,1.0524,1.0,0.7938,1.445
2011-04-16,1.0524,1.0,0.7938,1.445
2011-04-17,1.0524,1.0,0.7938,1.445
2011-04-18,1.0563,1.0,0.7957,1.4275
2011-04-19,1.0463,1.0,0.7866,1.4302
2011-04-20,1.0583,1.0,0.7898,1.4515
2011-04-21,1.0769,1.0,0.7959,1.4584
2011-04-22,1.0769,1.0,0.7959,1.4584
2011-04-23,1.0769,1.0,0.7959,1.4584
2011-04-24,1.0769,1.0,0.7959,1.4584
2011-04-25,1.0769,1.0,0.7959,1.4584
2011-04-26,1.0769,1.0,0.7999,1.4617
2011-04-27,1.0835,1.0,0.8073,1.4668
2011-04-28,1.0925,1.0,0.8027,1.4794
2011-04-29,1.09,1.0,0.804,1.486
2011-04-30,1.09,1.0,0.804,1.486
2011-05-01,1.09,1.0,0.804,1.486
2011-05-02,1.0939,1.0,0.80705,1.4837
2011-05-03,1.0919,1.0,0.8067,1.478
2011-05-04,1.0829,1.0,0.7989,1.4882
2011-05-05,1.0741,1.0,0.7926,1.4814
2011-05-06,1.0698,1.0,0.7882,1.4501
2011-05-07,1.0698,1.0,0.7882,1.4501
2011-05-08,1.0698,1.0,0.7882,1.4501
2011-05-09,1.0767,1.0,0.7893,1.4397
2011-05-10,1.0749,1.0,0.7922,1.4358
2011-05-11,1.0866,1.0,0.7954,1.4357
2011-05-12,1.0617,1.0,0.7902,1.4153
2011-05-13,1.067,1.0,0.7945,1.428
2011-05-14,1.067,1.0,0.7945,1.428
2011-05-15,1.067,1.0,0.7945,1.428
2011-05-16,1.0554,1.0,0.7856,1.4143
2011-05-17,1.0606,1.0,0.7799,1.4171
2011-05-18,1.0631,1.0,0.7856,1.4227
2011-05-19,1.0641,1.0,0.7896,1.4265
2011-05-20,1.0665,1.0,0.7914,1.4237
2011-05-21,1.0665,1.0,0.7914,1.4237
2011-05-22,1.0665,1.0,0.7914,1.4237
2011-05-23,1.0557,1.0,0.7935,1.402
2011-05-24,1.0547,1.0,0.7894,1.4089
2011-05-25,1.0462,1.0,0.7976,1.4069
2011-05-26,1.0611,1.0,0.7978,1.4168
2011-05-27,1.0684,1.0,0.8094,1.4265
2011-05-28,1.0684,1.0,0.8094,1.4265
2011-05-29,1.0684,1.0,0.8094,1.4265
2011-05-30,1.0684,1.0,0.8094,1.4265
2011-05-31,1.0709,1.0,0.8187,1.4385
2011-06-01,1.0748,1.0,0.8249,1.4408
2011-06-02,1.0621,1.0,0.8157,1.446
2011-06-03,1.0666,1.0,0.8155,1.4488
2011-06-04,1.0666,1.0,0.8155,1.4488
2011-06-05,1.0666,1.0,0.8155,1.4488
2011-06-06,1.0741,1.0,0.8155,1.4596
2011-06-07,1.0681,1.0,0.8146,1.4652
2011-06-08,1.0671,1.0,0.821,1.4608
2011-06-09,1.0581,1.0,0.8226,1.4614
2011-06-10,1.0598,1.0,0.8255,1.4486
2011-06-11,1.0598,1.0,0.8255,1.4486
2011-06-12,1.0598,1.0,0.8255,1.4486
2011-06-13,1.0598,1.0,0.8209,1.4354
2011-06-14,1.0636,1.0,0.8166,1.4448
2011-06-15,1.0707,1.0,0.8183,1.4292
2011-06-16,1.0527,1.0,0.8063,1.4088
2011-06-17,1.0522,1.0,0.8055,1.427
2011-06-18,1.0522,1.0,0.8055,1.427
2011-06-19,1.0522,1.0,0.8055,1.427
2011-06-20,1.0543,1.0,0.8106,1.4235
2011-06-21,1.0562,1.0,0.8102,1.4373
2011-06-22,1.0593,1.0,0.8117,1.4397
2011-06-23,1.055,1.0,0.8148,1.4212
2011-06-24,1.054,1.0,0.815,1.422
2011-06-25,1.054,1.0,0.815,1.422
2011-06-26,1.054,1.0,0.815,1.422
2011-06-27,1.0425,1.0,0.8028,1.4205
2011-06-28,1.0445,1.0,0.8053,1.4261
2011-06-29,1.0564,1.0,0.8108,1.4425
2011-06-30,1.0739,1.0,0.8275,1.4453
2011-07-01,1.0715,1.0,0.8278,1.4488
2011-07-02,1.0715,1.0,0.8278,1.4488
2011-07-03,1.0715,1.0,0.8278,1.4488
2011-07-04,1.0715,1.0,0.8278,1.4488
2011-07-05,1.0675,1.0,0.8278,1.4461
2011-07-06,1.073,1.0,0.8265,1.4318
2011-07-07,1.0731,1.0,0.8271,1.4247
2011-07-08,1.0773,1.0,0.8318,1.4242
2011-07-09,1.0773,1.0,0.8318,1.4242
2011-07-10,1.0773,1.0,0.8318,1.4242
2011-07-11,1.0719,1.0,0.8348,1.4056
2011-07-12,1.0606,1.0,0.8262,1.3975
2011-07-13,1.0643,1.0,0.8187,1.4073
2011-07-14,1.0729,1.0,0.8485,1.4202
2011-07-15,1.0703,1.0,0.842,1.4146
2011-07-16,1.0703,1.0,0.842,1.4146
2011-07-17,1.0703,1.0,0.842,1.4146
2011-07-18,1.0603,1.0,0.848,1.4045
2011-07-19,1.0615,1.0,0.8447,1.416
2011-07-20,1.0714,1.0,0.8562,1.4207
2011-07-21,1.0737,1.0,0.8583,1.4222
2011-07-22,1.0849,1.0,0.8622,1.4391
2011-07-23,1.0849,1.0,0.8622,1.4391
2011-07-24,1.0849,1.0,0.8622,1.4391
2011-07-25,1.0823,1.0,0.8646,1.438
2011-07-26,1.0924,1.0,0.8628,1.4471
2011-07-27,1.1052,1.0,0.8722,1.4446
2011-07-28,1.1055,1.0,0.8721,1.426
2011-07-29,1.0954,1.0,0.8702,1.426
2011-07-30,1.0954,1.0,0.8702,1.426
2011-07-31,1.0954,1.0,0.8702,1.426
2011-08-01,1.0954,1.0,0.8822,1.4415
2011-08-02,1.0924,1.0,0.876,1.417
2011-08-03,1.0745,1.0,0.8623,1.43
2011-08-04,1.0657,1.0,0.8656,1.4229
2011-08-05,1.0476,1.0,0.8286,1.4155
2011-08-06,1.0476,1.0,0.8286,1.4155
2011-08-07,1.0476,1.0,0.8286,1.4155
2011-08-08,1.0308,1.0,0.8383,1.4225
2011-08-09,1.0176,1.0,0.8179,1.4267
2011-08-10,1.0345,1.0,0.8379,1.4367
2011-08-11,1.027,1.0,0.8104,1.4143
2011-08-12,1.029,1.0,0.8288,1.425
2011-08-13,1.029,1.0,0.8288,1.425
2011-08-14,1.029,1.0,0.8288,1.425
2011-08-15,1.0429,1.0,0.8343,1.4309
2011-08-16,1.0467,1.0,0.8334,1.436
2011-08-17,1.049,1.0,0.8342,1.4477
2011-08-18,1.0505,1.0,0.8366,1.4369
2011-08-19,1.0338,1.0,0.822,1.4385
2011-08-20,1.0338,1.0,0.822,1.4385
2011-08-21,1.0338,1.0,0.822,1.4385
2011-08-22,1.0393,1.0,0.8194,1.4413
2011-08-23,1.0461,1.0,0.8226,1.4462
2011-08-24,1.0481,1.0,0.8334,1.4433
2011-08-25,1.0437,1.0,0.8292,1.4424
2011-08-26,1.0488,1.0,0.8289,1.4402
2011-08-27,1.0488,1.0,0.8289,1.4402
2011-08-28,1.0488,1.0,0.8289,1.4402
2011-08-29,1.0623,1.0,0.8402,1.4487
2011-08-30,1.0675,1.0,0.8485,1.4402
2011-08-31,1.0691,1.0,0.8526,1.445
2011-09-01,1.0703,1.0,0.8526,1.4285
2011-09-02,1.0702,1.0,0.8519,1.4255
2011-09-03,1.0702,1.0,0.8519,1.4255
2011-09-04,1.0702,1.0,0.8519,1.4255
2011-09-05,1.0702,1.0,0.8519,1.4255
2011-09-06,1.0509,1.0,0.828,1.4099
2011-09-07,1.0596,1.0,0.8255,1.4036
2011-09-08,1.0596,1.0,0.8337,1.4044
2011-09-09,1.0614,1.0,0.8357,1.3817
2011-09-10,1.0614,1.0,0.8357,1.3817
2011-09-11,1.0614,1.0,0.8357,1.3817
2011-09-12,1.0339,1.0,0.8202,1.3656
2011-09-13,1.0343,1.0,0.8244,1.3645
2011-09-14,1.0215,1.0,0.8231,1.3729
2011-09-15,1.0215,1.0,0.819,1.3795
2011-09-16,1.0345,1.0,0.8229,1.376
2011-09-17,1.0345,1.0,0.8229,1.376
2011-09-18,1.0345,1.0,0.8229,1.376
2011-09-19,1.0223,1.0,0.8259,1.3641
2011-09-20,1.0191,1.0,0.8187,1.371
2011-09-21,1.0278,1.0,0.8213,1.3636
2011-09-22,1.0027,1.0,0.7996,1.3448
2011-09-23,0.976,1.0,0.7834,1.343
2011-09-24,0.976,1.0,0.7834,1.343
2011-09-25,0.976,1.0,0.7834,1.343
2011-09-26,0.9672,1.0,0.7729,1.35
2011-09-27,0.9889,1.0,0.7797,1.3579
2011-09-28,0.9853,1.0,0.7888,1.3631
2011-09-29,0.9808,1.0,0.7744,1.3615
2011-09-30,0.9781,1.0,0.7697,1.3503
2011-10-01,0.9781,1.0,0.7697,1.3503
2011-10-02,0.9781,1.0,0.7697,1.3503
2011-10-03,0.9781,1.0,0.7627,1.3327
2011-10-04,0.95,1.0,0.7534,1.3181
2011-10-05,0.9544,1.0,0.7599,1.3337
2011-10-06,0.9641,1.0,0.767,1.3269
2011-10-07,0.9782,1.0,0.769,1.3434
2011-10-08,0.9782,1.0,0.769,1.3434
2011-10-09,0.9782,1.0,0.769,1.3434
2011-10-10,0.9782,1.0,0.769,1.3434
2011-10-11,0.9972,1.0,0.7839,1.3607
2011-10-12,0.9915,1.0,0.7804,1.3766
2011-10-13,1.0199,1.0,0.7946,1.3727
2011-10-14,1.0192,1.0,0.7945,1.3807
2011-10-15,1.0192,1.0,0.7945,1.3807
2011-10-16,1.0192,1.0,0.7945,1.3807
2011-10-17,1.0302,1.0,0.8047,1.3776
2011-10-18,1.0202,1.0,0.7926,1.3676
2011-10-19,1.0317,1.0,0.7955,1.3828
2011-10-20,1.0177,1.0,0.7929,1.3807
2011-10-21,1.0216,1.0,0.7936,1.3798
2011-10-22,1.0216,1.0,0.7936,1.3798
2011-10-23,1.0216,1.0,0.7936,1.3798
2011-10-24,1.0398,1.0,0.7936,1.3856
2011-10-25,1.047,1.0,0.805,1.3918
2011-10-26,1.0376,1.0,0.7964,1.3927
2011-10-27,1.0489,1.0,0.8002,1.4038
2011-10-28,1.0664,1.0,0.8223,1.416
2011-10-29,1.0664,1.0,0.8223,1.416
2011-10-30,1.0664,1.0,0.8223,1.416
2011-10-31,1.0509,1.0,0.8207,1.4001
2011-11-01,1.0455,1.0,0.8072,1.3627
2011-11-02,1.0355,1.0,0.7954,1.3809
2011-11-03,1.0249,1.0,0.7882,1.3773
2011-11-04,1.0383,1.0,0.7945,1.3773
2011-11-05,1.0383,1.0,0.7945,1.3773
2011-11-06,1.0383,1.0,0.7945,1.3773
2011-11-07,1.0369,1.0,0.797,1.3742
2011-11-08,1.0325,1.0,0.7968,1.3788
2011-11-09,1.0355,1.0,0.7984,1.3633
2011-11-10,1.0146,1.0,0.7806,1.3616
2011-11-11,1.016,1.0,0.7773,1.365
2011-11-12,1.016,1.0,0.7773,1.365
2011-11-13,1.016,1.0,0.7773,1.365
2011-11-14,1.0297,1.0,0.7916,1.3659
2011-11-15,1.0169,1.0,0.7805,1.3532
2011-11-16,1.0086,1.0,0.7714,1.3484
2011-11-17,1.01,1.0,0.7656,1.348
2011-11-18,0.9997,1.0,0.7589,1.3576
2011-11-19,0.9997,1.0,0.7589,1.3576
2011-11-20,0.9997,1.0,0.7589,1.3576
2011-11-21,0.9979,1.0,0.7569,1.3458
2011-11-22,0.9842,1.0,0.7471,1.3535
2011-11-23,0.9771,1.0,0.7473,1.3387
2011-11-24,0.9771,1.0,0.7473,1.3387
2011-11-25,0.9771,1.0,0.7473,1.3387
2011-11-26,0.9771,1.0,0.7473,1.3387
2011-11-27,0.9771,1.0,0.7473,1.3387
2011-11-28,0.9837,1.0,0.7489,1.3348
2011-11-29,0.9932,1.0,0.7556,1.3336
2011-11-30,1.0021,1.0,0.761,1.3418
2011-12-01,1.0256,1.0,0.7794,1.3492
2011-12-02,1.0223,1.0,0.7786,1.3511
2011-12-03,1.0223,1.0,0.7786,1.3511
2011-12-04,1.0223,1.0,0.7786,1.3511
2011-12-05,1.0214,1.0,0.7793,1.3442
2011-12-06,1.0176,1.0,0.7798,1.3394
2011-12-07,1.0266,1.0,0.7803,1.3377
2011-12-08,1.0269,1.0,0.7799,1.341
2011-12-09,1.0131,1.0,0.7723,1.3384
2011-12-10,1.0131,1.0,0.7723,1.3384
2011-12-11,1.0131,1.0,0.7723,1.3384
2011-12-12,1.0166,1.0,0.7749,1.3251
2011-12-13,1.0093,1.0,0.763,1.3181
2011-12-14,1.0017,1.0,0.7568,1.2993
2011-12-15,0.9895,1.0,0.7505,1.3019
2011-12-16,0.9985,1.0,0.7536,1.3064
2011-12-17,0.9985,1.0,0.7536,1.3064
2011-12-18,0.9985,1.0,0.7536,1.3064
2011-12-19,0.9909,1.0,0.7637,1.3039
2011-12-20,0.9938,1.0,0.7559,1.3074
2011-12-21,1.0138,1.0,0.7677,1.3054
2011-12-22,1.0082,1.0,0.7704,1.3047
2011-12-23,1.017,1.0,0.7743,1.3057
2011-12-24,1.017,1.0,0.7743,1.3057
2011-12-25,1.017,1.0,0.7743,1.3057
2011-12-26,1.017,1.0,0.7743,1.3057
2011-12-27,1.017,1.0,0.7743,1.3069
2011-12-28,1.0156,1.0,0.7743,1.3074
2011-12-29,1.0101,1.0,0.7743,1.2889
2011-12-30,1.0156,1.0,0.7743,1.2939
2011-12-31,1.0156,1.0,0.7743,1.2939
2012-01-01,1.0156,1.0,0.7743,1.2939
2012-01-02,1.0156,1.0,0.7743,1.2939
2012-01-03,1.0294,1.0,0.7743,1.3014
2012-01-04,1.0353,1.0,0.7906,1.2948
2012-01-05,1.0323,1.0,0.7875,1.2832
2012-01-06,1.0221,1.0,0.7807,1.2776
2012-01-07,1.0221,1.0,0.7807,1.2776
2012-01-08,1.0221,1.0,0.7807,1.2776
2012-01-09,1.017,1.0,0.78,1.2728
2012-01-10,1.0311,1.0,0.7872,1.2808
2012-01-11,1.0284,1.0,0.794,1.2718
2012-01-12,1.0296,1.0,0.797,1.2736
2012-01-13,1.032,1.0,0.7945,1.2771
2012-01-14,1.032,1.0,0.7945,1.2771
2012-01-15,1.032,1.0,0.7945,1.2771
2012-01-16,1.032,1.0,0.7945,1.2771
2012-01-17,1.0377,1.0,0.7936,1.279
2012-01-18,1.04,1.0,0.8003,1.2831
2012-01-19,1.0395,1.0,0.8032,1.2911
2012-01-20,1.0401,1.0,0.8026,1.2902
2012-01-21,1.0401,1.0,0.8026,1.2902
2012-01-22,1.0401,1.0,0.8026,1.2902
2012-01-23,1.049,1.0,0.8026,1.3017
2012-01-24,1.0494,1.0,0.8106,1.3003
2012-01-25,1.0513,1.0,0.8117,1.2942
2012-01-26,1.0513,1.0,0.8165,1.3145
2012-01-27,1.0615,1.0,0.8218,1.3145
2012-01-28,1.0615,1.0,0.8218,1.3145
2012-01-29,1.0615,1.0,0.8218,1.3145
2012-01-30,1.0589,1.0,0.8232,1.311
2012-01-31,1.0637,1.0,0.8189,1.3176
2012-02-01,1.061,1.0,0.8254,1.3175
2012-02-02,1.0715,1.0,0.8336,1.3094
2012-02-03,1.0682,1.0,0.8332,1.316
2012-02-04,1.0682,1.0,0.8332,1.316
2012-02-05,1.0682,1.0,0.8332,1.316
2012-02-06,1.0718,1.0,0.8332,1.3042
2012-02-07,1.0778,1.0,0.834,1.3113
2012-02-08,1.0792,1.0,0.8358,1.3274
2012-02-09,1.08,1.0,0.8352,1.3288
2012-02-10,1.0713,1.0,0.8336,1.3189
2012-02-11,1.0713,1.0,0.8336,1.3189
2012-02-12,1.0713,1.0,0.8336,1.3189
2012-02-13,1.074,1.0,0.8285,1.3254
2012-02-14,1.0678,1.0,0.834,1.3169
2012-02-15,1.0737,1.0,0.8332,1.3092
2012-02-16,1.0683,1.0,0.8335,1.2982
2012-02-17,1.0772,1.0,0.8332,1.3159
2012-02-18,1.0772,1.0,0.8332,1.3159
2012-02-19,1.0772,1.0,0.8332,1.3159
2012-02-20,1.0772,1.0,0.8332,1.3159
2012-02-21,1.0724,1.0,0.8398,1.3222
2012-02-22,1.0652,1.0,0.8339,1.323
2012-02-23,1.0646,1.0,0.8288,1.33
2012-02-24,1.0738,1.0,0.8362,1.3412
2012-02-25,1.0738,1.0,0.8362,1.3412
2012-02-26,1.0738,1.0,0.8362,1.3412
2012-02-27,1.0689,1.0,0.837,1.3388
2012-02-28,1.0777,1.0,0.8399,1.3454
2012-02-29,1.0816,1.0,0.8377,1.3443
2012-03-01,1.0763,1.0,0.8342,1.3312
2012-03-02,1.0793,1.0,0.8394,1.3217
2012-03-03,1.0793,1.0,0.8394,1.3217
2012-03-04,1.0793,1.0,0.8394,1.3217
2012-03-05,1.0717,1.0,0.8307,1.322
2012-03-06,1.0614,1.0,0.8206,1.3153
2012-03-07,1.0539,1.0,0.8126,1.312
2012-03-08,1.0602,1.0,0.8164,1.3242
2012-03-09,1.0658,1.0,0.8242,1.3191
2012-03-10,1.0658,1.0,0.8242,1.3191
2012-03-11,1.0658,1.0,0.8242,1.3191
2012-03-12,1.0533,1.0,0.8198,1.3119
2012-03-13,1.0553,1.0,0.8186,1.3057
2012-03-14,1.0547,1.0,0.8225,1.3062
2012-03-15,1.0467,1.0,0.8101,1.3057
2012-03-16,1.0536,1.0,0.8195,1.3116
2012-03-17,1.0536,1.0,0.8195,1.3116
2012-03-18,1.0536,1.0,0.8195,1.3116
2012-03-19,1.0608,1.0,0.8253,1.315
2012-03-20,1.057,1.0,0.8262,1.3198
2012-03-21,1.0492,1.0,0.8171,1.3225
2012-03-22,1.0395,1.0,0.8118,1.3167
2012-03-23,1.0397,1.0,0.8104,1.3242
2012-03-24,1.0397,1.0,0.8104,1.3242
2012-03-25,1.0397,1.0,0.8104,1.3242
2012-03-26,1.0451,1.0,0.8187,1.3276
2012-03-27,1.0517,1.0,0.8231,1.3333
2012-03-28,1.0427,1.0,0.8207,1.3337
2012-03-29,1.0371,1.0,0.8176,1.3272
2012-03-30,1.0402,1.0,0.8173,1.3356
2012-03-31,1.0402,1.0,0.8173,1.3356
2012-04-01,1.0402,1.0,0.8173,1.3356
2012-04-02,1.0391,1.0,0.8228,1.3319
2012-04-03,1.0401,1.0,0.8251,1.3315
2012-04-04,1.0283,1.0,0.8177,1.3142
2012-04-05,1.0304,1.0,0.8153,1.3068
2012-04-06,1.0304,1.0,0.8153,1.3068
2012-04-07,1.0304,1.0,0.8153,1.3068
2012-04-08,1.0304,1.0,0.8153,1.3068
2012-04-09,1.0304,1.0,0.8153,1.3068
2012-04-10,1.0318,1.0,0.8213,1.3114
2012-04-11,1.0289,1.0,0.8152,1.3131
2012-04-12,1.0379,1.0,0.8196,1.3153
2012-04-13,1.0396,1.0,0.8277,1.3148
2012-04-14,1.0396,1.0,0.8277,1.3148
2012-04-15,1.0396,1.0,0.8277,1.3148
2012-04-16,1.0331,1.0,0.8233,1.3024
2012-04-17,1.0318,1.0,0.8201,1.3132
2012-04-18,1.0402,1.0,0.8221,1.3093
2012-04-19,1.0354,1.0,0.8159,1.3086
2012-04-20,1.0336,1.0,0.8147,1.3192
2012-04-21,1.0336,1.0,0.8147,1.3192
2012-04-22,1.0336,1.0,0.8147,1.3192
2012-04-23,1.0339,1.0,0.8177,1.3131
2012-04-24,1.0262,1.0,0.8134,1.3161
2012-04-25,1.0262,1.0,0.8134,1.3206
2012-04-26,1.0381,1.0,0.8149,1.3215
2012-04-27,1.0369,1.0,0.8124,1.3229
2012-04-28,1.0369,1.0,0.8124,1.3229
2012-04-29,1.0369,1.0,0.8124,1.3229
2012-04-30,1.0453,1.0,0.8232,1.3214
